Date,Sensor
2022-12-04 03:44:21,5297
2022-12-04 03:44:22,3916
2022-12-04 03:44:23,3456
2022-12-04 03:44:24,4914
2022-12-04 03:44:25,2840
2022-12-04 03:44:26,4452
2022-12-04 03:44:27,4378
2022-12-04 03:44:28,3533
2022-12-04 03:44:29,4683
2022-12-04 03:44:30,4914
2022-12-04 03:44:31,3456
2022-12-04 03:44:32,4991
2022-12-04 03:44:33,2457
2022-12-04 03:44:34,2534
2022-12-04 03:44:35,4914
2022-12-04 03:44:36,4301
2022-12-04 03:44:37,2303
2022-12-04 03:44:38,2072
2022-12-04 03:44:39,1843
2022-12-04 03:44:40,2226
2022-12-04 03:44:41,2303
2022-12-04 03:44:42,2149
2022-12-04 03:44:43,3225
2022-12-04 03:44:44,1997
2022-12-04 03:44:45,5145
2022-12-04 03:44:46,2917
2022-12-04 03:44:47,3839
2022-12-04 03:44:48,2149
2022-12-04 03:44:49,2534
2022-12-04 03:44:50,3839
2022-12-04 03:44:51,3148
2022-12-04 03:44:52,3071
2022-12-04 03:44:53,3762
2022-12-04 03:44:54,2457
2022-12-04 03:44:55,3762
2022-12-04 03:44:56,2840
2022-12-04 03:44:57,2917
2022-12-04 03:44:58,4070
2022-12-04 03:44:59,2534
2022-12-04 03:45:00,1689
2022-12-04 03:45:01,3916
2022-12-04 03:45:02,3916
2022-12-04 03:45:03,1458
2022-12-04 03:45:04,4301
2022-12-04 03:45:05,4147
2022-12-04 03:45:06,4914
2022-12-04 03:45:07,4837
2022-12-04 03:45:08,5913
2022-12-04 03:45:09,3456
2022-12-04 03:45:10,1381
2022-12-04 03:45:11,2840
2022-12-04 03:45:12,4606
2022-12-04 03:45:13,2226
2022-12-04 03:45:14,3225
2022-12-04 03:45:15,2072
2022-12-04 03:45:16,4991
2022-12-04 03:45:17,4378
2022-12-04 03:45:18,3148
2022-12-04 03:45:19,3148
2022-12-04 03:45:20,4914
2022-12-04 03:45:21,2457
2022-12-04 03:45:22,3148
2022-12-04 03:45:23,2765
2022-12-04 03:45:24,2840
2022-12-04 03:45:25,2226
2022-12-04 03:45:26,3071
2022-12-04 03:45:27,4301
2022-12-04 03:45:28,3456
2022-12-04 03:45:29,2534
2022-12-04 03:45:30,4301
2022-12-04 03:45:31,2994
2022-12-04 03:45:32,5836
2022-12-04 03:45:33,4224
2022-12-04 03:45:34,3148
2022-12-04 03:45:35,3685
